complex,component
ESCRT_complexes,HGS
ESCRT_complexes,CHMP2A
ESCRT_complexes,CHMP4B
ESCRT_complexes,CHMP2B
ESCRT_complexes,CHMP3
ESCRT_complexes,STAM
ESCRT_complexes,TSG101
MHC_I_complexes,B2M
MHC_I_complexes,HLA-C
MHC_I_complexes,HLA-B
MHC_I_complexes,HLA-G
MHC_I_complexes,HLA-E
MHC_I_complexes,CD8A
MHC_I_complexes,CALR
MHC_I_complexes,HLA-A
vATPase_complexes,ATP6V1F
vATPase_complexes,ATP6V1B2
vATPase_complexes,ATP6V1A
vATPase_complexes,ATP6V1G1
vATPase_complexes,ATP6V1D
vATPase_complexes,ATP6V1E1
vATPase_complexes,ATP6V1H
ImportinBetaAlpha_complexes,KPNA1
ImportinBetaAlpha_complexes,KPNA2
ImportinBetaAlpha_complexes,KPNB1
ImportinBetaAlpha_complexes,RAN
ImportinBetaAlpha_complexes,NUTF2